1,8,16,24,32,40
Null,10.7029,32.1676,82.6064,97.4162,1016.36,1842.38
Unsync,37.2477,152.877,610.24,733.275,1077.74,771.809
Sync,16.4967,388.649,1495.83,1194.6,1332.38,1890.23
AcmeSafe,27.9494,509.955,1016.49,1552.31,2049.92,2319.94

5,25,50,75,100,500
Null,83.3916,31.5748,29.4058,30.3478,104.617,226.824
Unsync,276.129,334.838,305.991,273.555,257.146,220.702
Sync,368.529,377.82,360.721,366.142,364.121,318.892
AcmeSafe,469.604,508.459,543.465,537.114,548.518,576.801
