&1&8&16&24&32&40
Null&22.721&760.5&1224&2254&2633&1899
Unsynchronized&14.20&25.63&38.50&65.41&129.0&159.4
Synchronized&16.03&209.8&420.3&688.9&920.6&1345
AcmeSafe&23.10&1967&3789&5535&7215&10032
