&5&25&50&75&100&500
Null&672.1&1002&674.4&677.2&472.6&310.2
Unsynchronized&27.34&26.76&22.55&22.52&25.86&23.34
Synchronized&323.2&451.2&412.3&391.3&388.0&437.6
AcmeSafe&2104&2056&2234&2105&1969&2139
