&1&8&16&24&32&40
Null&25.4652&917.296&2051.79&2905.33&4914.36&5141.11
Unsynchronized&11.4121&29.5074&77.9222&98.2036&158.450&313.164
Synchronized&12.0911&277.698&557.857&519.276&1191.50&1448.44
AcmeSafe&16.4548&414.088&832.279&1231.11&1653.34&2083.10
