&5&25&50&75&100&500
Null&1004.21&1011.86&560.676&737.307&628.535&313.694
Unsynchronized&32.4904&29.6215&31.2110&31.3343&29.5926&32.9270
Synchronized&145.478&331.458&313.632&293.149&277.991&204.076
AcmeSafe&392.533&405.536&389.207&406.861&374.569&311.288
